Year,Firm_Name,Total_Audit_Engagements,High_Risk_Cases,Compliance_Violations,Fraud_Cases_Detected,Industry_Affected,Total_Revenue_Impact,AI_Used_for_Auditing,Employee_Workload,Audit_Effectiveness_Score,Client_Satisfaction_Score
2020,PwC,2829,51,123,39,Healthcare,114.24,No,57,5.8,8.4
2022,Deloitte,3589,185,30,60,Healthcare,156.98,Yes,58,5.3,6.7
2020,PwC,2438,212,124,97,Healthcare,131.83,No,76,6.1,6.2
2021,PwC,2646,397,55,97,Healthcare,229.11,No,60,5.1,8.6
2020,PwC,2680,216,99,46,Healthcare,48.0,No,51,9.1,6.7
2023,Deloitte,818,448,10,30,Finance,438.89,No,73,5.3,7.1
2022,Deloitte,1199,148,114,11,Retail,468.82,No,53,9.6,6.3
2020,PwC,4092,500,152,69,Tech,53.85,Yes,80,9.4,9.5
2021,PwC,4156,362,53,95,Finance,318.79,No,56,6.0,6.0
2021,Ernst & Young,2490,74,144,22,Retail,461.33,Yes,66,6.8,7.3
2020,KPMG,1497,330,10,10,Finance,258.49,Yes,59,8.3,8.0
2024,Ernst & Young,2712,408,186,61,Healthcare,224.92,Yes,78,9.5,8.9
2024,Deloitte,2885,469,125,92,Healthcare,418.49,No,58,9.3,7.7
2023,PwC,2267,164,125,42,Retail,445.62,Yes,58,7.3,7.7
2020,PwC,2333,358,48,17,Retail,388.5,Yes,40,10.0,8.3
2021,Deloitte,3490,127,17,62,Finance,495.19,Yes,52,8.4,7.5
2020,Ernst & Young,3264,435,82,18,Tech,61.17,Yes,76,5.3,7.1
2022,Deloitte,4813,249,81,64,Retail,182.9,No,67,9.8,7.5
2022,Deloitte,2804,273,87,36,Healthcare,243.85,No,46,6.6,9.5
2021,KPMG,2239,78,30,14,Tech,129.98,Yes,53,8.0,7.6
2024,Deloitte,1581,247,181,72,Retail,221.42,No,56,5.6,7.9
2025,Deloitte,760,406,65,69,Finance,140.29,Yes,40,5.1,7.5
2023,PwC,2238,101,184,79,Retail,216.84,Yes,65,7.0,7.1
2024,Ernst & Young,1760,415,183,11,Healthcare,291.0,Yes,53,8.2,8.4
2024,PwC,4103,423,179,30,Healthcare,225.42,Yes,41,6.7,5.0
2025,PwC,4470,63,49,54,Tech,213.92,Yes,43,5.8,5.6
2020,KPMG,2515,362,146,94,Tech,447.14,No,63,5.8,5.0
2025,KPMG,3852,317,65,12,Retail,294.38,No,78,6.2,7.3
2025,Ernst & Young,4773,497,186,56,Finance,197.87,Yes,44,9.4,6.1
2025,Ernst & Young,3571,86,181,90,Retail,474.21,No,58,7.4,7.6
2020,Deloitte,2030,200,169,18,Healthcare,104.98,No,76,5.2,9.3
2020,Ernst & Young,811,398,94,94,Healthcare,438.45,Yes,66,7.2,9.6
2023,Ernst & Young,1727,59,184,20,Tech,249.68,No,50,6.9,8.8
2024,Ernst & Young,4481,258,136,32,Tech,156.76,No,53,8.9,5.1
2022,Deloitte,4287,158,73,66,Healthcare,69.97,No,78,8.3,6.5
2021,KPMG,3560,302,37,42,Retail,94.56,Yes,50,9.2,8.9
2023,PwC,3449,102,61,42,Finance,33.46,Yes,77,5.2,9.2
2024,Deloitte,4324,483,166,26,Healthcare,284.84,No,40,8.8,6.2
2022,Ernst & Young,2245,435,42,13,Retail,265.76,Yes,67,7.0,5.5
2021,Deloitte,603,62,100,20,Tech,415.3,Yes,60,5.3,8.5
2020,PwC,3981,199,134,63,Tech,52.64,Yes,63,6.8,8.9
2021,Ernst & Young,1119,325,53,40,Tech,307.88,Yes,71,7.0,6.4
2023,KPMG,3076,428,138,79,Retail,150.59,No,62,8.8,7.3
2024,KPMG,3958,442,115,94,Healthcare,468.13,No,63,5.2,5.2
2022,Ernst & Young,1578,122,116,48,Healthcare,172.0,Yes,61,9.5,7.6
2020,Ernst & Young,4570,284,155,6,Tech,389.37,No,52,6.1,6.1
2025,Deloitte,718,360,193,14,Retail,432.8,No,64,7.3,8.9
2021,Deloitte,4601,65,196,28,Tech,320.75,No,75,7.7,5.7
2025,PwC,4775,380,139,87,Finance,429.95,Yes,53,8.8,5.8
2022,KPMG,4340,208,86,70,Retail,178.86,Yes,57,5.5,7.6
2021,KPMG,4327,312,94,86,Finance,444.51,No,66,9.9,9.6
2025,Deloitte,1695,285,137,61,Tech,302.28,Yes,64,9.1,8.4
2020,Deloitte,995,354,126,25,Healthcare,160.31,No,68,9.3,6.2
2023,Ernst & Young,3101,398,149,36,Healthcare,483.07,No,60,9.5,9.9
2021,Deloitte,1992,313,74,93,Tech,110.06,No,61,7.6,7.5
2025,KPMG,2506,330,55,94,Healthcare,250.74,Yes,40,7.5,9.6
2024,Ernst & Young,2556,306,45,91,Finance,426.07,No,68,5.3,5.1
2025,Deloitte,4390,367,167,51,Tech,334.56,Yes,59,7.8,9.6
2020,PwC,4401,249,126,45,Finance,424.03,No,60,8.2,5.7
2024,Deloitte,1275,201,20,100,Retail,378.3,No,66,8.5,7.8
2021,KPMG,3630,208,92,24,Retail,440.9,Yes,48,5.0,5.4
2020,KPMG,2654,231,185,73,Retail,478.0,Yes,60,9.2,7.0
2025,Ernst & Young,1810,91,151,54,Retail,285.51,No,55,5.9,6.9
2025,Deloitte,2208,296,198,72,Retail,395.59,Yes,77,6.0,6.7
2023,KPMG,2133,52,141,50,Retail,88.08,No,44,9.8,5.8
2024,Deloitte,2183,449,25,27,Finance,263.14,Yes,48,9.0,8.3
2022,KPMG,1924,487,141,33,Retail,307.61,No,68,7.3,8.8
2022,KPMG,4624,472,142,50,Finance,65.0,Yes,46,5.5,5.7
2024,Ernst & Young,1825,377,31,80,Tech,193.07,No,74,6.0,9.5
2021,Ernst & Young,1069,222,102,11,Tech,497.06,No,54,6.2,6.6
2023,PwC,2283,58,103,82,Healthcare,168.15,Yes,59,6.7,5.6
2024,Deloitte,4784,382,15,73,Healthcare,268.67,No,59,6.7,10.0
2020,KPMG,2861,433,139,71,Retail,381.61,No,49,9.2,9.0
2023,KPMG,3616,330,71,67,Finance,130.85,Yes,75,8.8,5.4
2025,Ernst & Young,4452,345,38,82,Finance,291.77,Yes,78,9.6,7.4
2021,PwC,1078,395,58,5,Tech,139.48,Yes,62,7.3,5.9
2020,Ernst & Young,1286,391,47,60,Tech,85.46,No,48,6.5,5.9
2024,PwC,1574,391,19,50,Tech,240.87,No,74,8.3,5.3
2024,PwC,1076,86,67,17,Retail,206.47,Yes,62,7.9,9.9
2021,Deloitte,3305,226,132,81,Tech,403.02,No,73,5.5,7.6
2020,Deloitte,912,481,200,20,Healthcare,83.61,No,66,8.6,9.3
2022,Ernst & Young,1516,242,134,37,Retail,339.08,No,79,5.6,6.5
2022,KPMG,1012,302,124,35,Tech,276.3,No,73,7.7,5.3
2023,KPMG,3230,290,121,91,Retail,435.76,No,59,7.2,9.1
2021,KPMG,2503,425,45,62,Retail,228.15,No,69,7.4,6.5
2020,PwC,4946,78,90,66,Tech,106.93,No,40,5.4,8.7
2025,PwC,4606,221,158,90,Tech,382.67,No,45,7.6,6.1
2025,PwC,1771,158,73,33,Tech,485.64,Yes,68,9.8,8.4
2024,PwC,2676,176,36,82,Finance,362.31,Yes,56,9.5,7.9
2022,Deloitte,962,356,155,21,Finance,54.07,Yes,60,9.1,5.9
2020,Deloitte,1925,189,39,52,Tech,118.92,No,70,9.4,6.4
2023,KPMG,2919,453,35,99,Tech,95.68,Yes,47,8.0,5.1
2022,PwC,4595,481,173,54,Retail,454.65,No,48,8.6,6.5
2021,Deloitte,797,133,46,27,Finance,474.32,No,77,6.3,8.6
2023,Ernst & Young,4895,123,132,10,Tech,389.31,No,48,9.3,8.4
2022,KPMG,4179,77,58,69,Healthcare,89.79,Yes,74,7.6,5.6
